====================================================================================================
[ 2019-10-11 | 17:09:16,640738 ][ __main__ ] Start of the program 
[ 2019-10-11 | 17:09:16,640738 ][ __main__ ] Colorama init... 
[ 2019-10-11 | 17:09:16,641738 ][ __main__ ] Ok 
[ 2019-10-11 | 17:09:16,642738 ][ Player ] Loading players... 
[ 2019-10-11 | 17:09:16,643738 ][ Player ] Loading player (FireWalker) ... 
[ 2019-10-11 | 17:09:16,643738 ][ Player ] Ok (Loading player) 
[ 2019-10-11 | 17:09:16,644738 ][ Player ] Loading player (Hamster) ... 
[ 2019-10-11 | 17:09:16,645738 ][ Player ] Ok (Loading player) 
[ 2019-10-11 | 17:09:16,645738 ][ Player ] Loading player (Linda) ... 
[ 2019-10-11 | 17:09:16,646738 ][ Player ] Ok (Loading player) 
[ 2019-10-11 | 17:09:16,647738 ][ Player ] Loading player (Miley) ... 
[ 2019-10-11 | 17:09:16,648738 ][ Player ] Ok (Loading player) 
[ 2019-10-11 | 17:09:16,707738 ][ Player ] Loading player (Scumfuck) ... 
[ 2019-10-11 | 17:09:16,708738 ][ Player ] Ok (Loading player) 
[ 2019-10-11 | 17:09:16,709738 ][ Player ] Loading player (Sigrskaydle) ... 
[ 2019-10-11 | 17:09:16,710738 ][ Player ] Ok (Loading player) 
[ 2019-10-11 | 17:09:16,710738 ][ Player ] Loading player (Yield) ... 
[ 2019-10-11 | 17:09:16,711738 ][ Player ] Ok (Loading player) 
[ 2019-10-11 | 17:09:16,712738 ][ Player ] Ok 
[ 2019-10-11 | 17:09:16,714738 ][ Group ] Group (sys) was created 
[ 2019-10-11 | 17:09:16,717738 ][ Group ] List of players group (sys) 
[ 2019-10-11 | 17:09:16,718738 ][ __main__ ] Additional players (?) 
[ 2019-10-11 | 17:09:19,252738 ][ __main__ ] Answer: 0 
[ 2019-10-11 | 17:09:19,261738 ][ Group ] List of players group (sys) 
[ 2019-10-11 | 17:09:19,261738 ][ __main__ ] Choice of players for game... 
[ 2019-10-11 | 17:09:24,332738 ][ __main__ ] Indexes: ['0', '1', '2', '3', '4', '5', '6'] 
[ 2019-10-11 | 17:09:24,333738 ][ Group ] Group (sys) was created 
[ 2019-10-11 | 17:09:24,335738 ][ Group ] Group (sys) was serialised 
[ 2019-10-11 | 17:09:24,341738 ][ Interface ] Call main Menu 
[ 2019-10-11 | 17:09:24,342738 ][ __main__ ] Action from menu (?) 
[ 2019-10-11 | 17:09:32,491738 ][ __main__ ] Action: 3 
[ 2019-10-11 | 17:09:32,492738 ][ __main__ ] Delete player 
[ 2019-10-11 | 17:09:32,501738 ][ Group ] List of players group (sys) 
[ 2019-10-11 | 17:09:32,501738 ][ __main__ ] Number of player for delete (?) 
